종목명,종목코드,초기 자본,2025년 10월 15일 수요일 9:00,,,,,,,2025년 10월 16일 목요일 9:00,,,,,,,,2025년 10월 17일 금요일 9:00,,,,,,,,2025년 10월 20일 월요일 9:00,,,,,,,,2025년 10월 21일 화요일 9:00,,,,,,,,2025년 10월 22일 수요일 9:00,,,,,,,,2025년 10월 23일 목요일 9:00,,,,,,,,2025년 10월 24일 금요일 9:00,,,,,,,,2025년 10월 27일 월요일 9:00,,,,,,,,2025년 10월 28일 화요일 9:00,,,,,,,,2025년 10월 29일 수요일 9:00,,,,,,,,2025년 10월 30일 목요일 9:00,,,,,,,,2025년 10월 31일 금요일 9:00,,,,,,,,2025년 11월 1일 토요일 9:00,,,,,,,
,,"₩2,000,000",사유,거래,종가,보유 주식수,잔고,자산현황,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률,사유,거래,종가,보유 주식수,잔고,자산현황,증감액,수익률
현대차증권,001500,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	8,660",230,"₩	8,200","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	8,570",230,"₩	8,200","₩	1,979,300","₩20,700",1.04%,보유,HOLD,"₩	8,980",230,"₩	8,200","₩	2,073,600","₩73,600",3.68%,보유,HOLD,"₩	8,770",230,"₩	8,200","₩	2,025,300","₩25,300",1.27%,보유,HOLD,"₩	8,770",230,"₩	8,200","₩	2,025,300","₩25,300",1.27%,보유,HOLD,"₩	8,670",230,"₩	8,200","₩	2,002,300","₩2,300",0.11%,보유,HOLD,"₩	8,770",230,"₩	8,200","₩	2,025,300","₩25,300",1.27%,보유,HOLD,"₩	8,970",230,"₩	8,200","₩	2,071,300","₩71,300",3.57%,보유,HOLD,"₩	8,910",230,"₩	8,200","₩	2,057,500","₩57,500",2.88%,보유,HOLD,"₩	8,920",230,"₩	8,200","₩	2,059,800","₩59,800",2.99%,보유,HOLD,"₩	8,900",230,"₩	8,200","₩	2,055,200","₩55,200",2.76%,보유,HOLD,"₩	8,730",230,"₩	8,200","₩	2,016,100","₩16,100",0.80%
신풍제약,019170,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	13,130",152,"₩	4,240","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	12,810",152,"₩	4,240","₩	1,951,360","₩48,640",2.43%,보유,HOLD,"₩	12,980",152,"₩	4,240","₩	1,977,200","₩22,800",1.14%,보유,HOLD,"₩	13,220",152,"₩	4,240","₩	2,013,680","₩13,680",0.68%,보유,HOLD,"₩	13,170",152,"₩	4,240","₩	2,006,080","₩6,080",0.30%,보유,HOLD,"₩	12,920",152,"₩	4,240","₩	1,968,080","₩31,920",1.60%,보유,HOLD,"₩	13,700",152,"₩	4,240","₩	2,086,640","₩86,640",4.33%,보유,HOLD,"₩	14,880",152,"₩	4,240","₩	2,266,000","₩266,000",13.30%,보유,HOLD,"₩	15,690",152,"₩	4,240","₩	2,389,120","₩389,120",19.46%,보유,HOLD,"₩	14,010",152,"₩	4,240","₩	2,133,760","₩133,760",6.69%,보유,HOLD,"₩	13,530",152,"₩	4,240","₩	2,060,800","₩60,800",3.04%,보유,HOLD,"₩	13,550",152,"₩	4,240","₩	2,063,840","₩63,840",3.19%
현대모비스,012330,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	309,000",6,"₩	146,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	308,000",6,"₩	146,000","₩	1,994,000","₩6,000",0.30%,보유,HOLD,"₩	308,500",6,"₩	146,000","₩	1,997,000","₩3,000",0.15%,보유,HOLD,"₩	308,500",6,"₩	146,000","₩	1,997,000","₩3,000",0.15%,보유,HOLD,"₩	314,500",6,"₩	146,000","₩	2,033,000","₩33,000",1.65%,보유,HOLD,"₩	306,000",6,"₩	146,000","₩	1,982,000","₩18,000",0.90%,보유,HOLD,"₩	307,000",6,"₩	146,000","₩	1,988,000","₩12,000",0.60%,보유,HOLD,"₩	305,000",6,"₩	146,000","₩	1,976,000","₩24,000",1.20%,보유,HOLD,"₩	304,500",6,"₩	146,000","₩	1,973,000","₩27,000",1.35%,보유,HOLD,"₩	306,500",6,"₩	146,000","₩	1,985,000","₩15,000",0.75%,보유,HOLD,"₩	307,000",6,"₩	146,000","₩	1,988,000","₩12,000",0.60%,보유,HOLD,"₩	316,000",6,"₩	146,000","₩	2,042,000","₩42,000",2.10%
현대지에프홀딩스,005440,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	8,170",244,"₩	6,520","₩	2,000,000",₩0,0.00%,데드크로스,SELL,"₩	7,880",244,"₩	6,520","₩	1,929,240","₩70,760",3.54%,골드크로스,BUY,"₩	8,140",237,₩	60,"₩	1,929,240","₩70,760",3.54%,보유,HOLD,"₩	8,020",237,₩	60,"₩	1,900,800","₩99,200",4.96%,보유,HOLD,"₩	8,240",237,₩	60,"₩	1,952,940","₩47,060",2.35%,보유,HOLD,"₩	7,970",237,₩	60,"₩	1,888,950","₩111,050",5.55%,손절,SELL,"₩	7,880",237,₩	60,"₩	1,867,620","₩132,380",6.62%,-,-,"₩	8,080",0,"₩	1,867,620","₩	1,867,620","₩132,380",6.62%,-,-,"₩	8,110",0,"₩	1,867,620","₩	1,867,620","₩132,380",6.62%,-,-,"₩	8,050",0,"₩	1,867,620","₩	1,867,620","₩132,380",6.62%,-,-,"₩	7,760",0,"₩	1,867,620","₩	1,867,620","₩132,380",6.62%,-,-,"₩	7,800",0,"₩	1,867,620","₩	1,867,620","₩132,380",6.62%
한국전력공사,015760,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	40,200",49,"₩	30,200","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	42,700",49,"₩	30,200","₩	2,122,500","₩122,500",6.13%,보유,HOLD,"₩	42,200",49,"₩	30,200","₩	2,098,000","₩98,000",4.90%,보유,HOLD,"₩	43,850",49,"₩	30,200","₩	2,178,850","₩178,850",8.94%,보유,HOLD,"₩	43,900",49,"₩	30,200","₩	2,181,300","₩181,300",9.07%,보유,HOLD,"₩	42,150",49,"₩	30,200","₩	2,095,550","₩95,550",4.78%,보유,HOLD,"₩	43,300",49,"₩	30,200","₩	2,151,900","₩151,900",7.60%,보유,HOLD,"₩	43,000",49,"₩	30,200","₩	2,137,200","₩137,200",6.86%,보유,HOLD,"₩	44,000",49,"₩	30,200","₩	2,186,200","₩186,200",9.31%,보유,HOLD,"₩	45,500",49,"₩	30,200","₩	2,259,700","₩259,700",12.99%,보유,HOLD,"₩	42,950",49,"₩	30,200","₩	2,134,750","₩134,750",6.74%,보유,HOLD,"₩	42,550",49,"₩	30,200","₩	2,115,150","₩115,150",5.76%
에스엘,005850,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	36,650",54,"₩	20,900","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	36,400",54,"₩	20,900","₩	1,986,500","₩13,500",0.68%,보유,HOLD,"₩	36,300",54,"₩	20,900","₩	1,981,100","₩18,900",0.95%,보유,HOLD,"₩	36,600",54,"₩	20,900","₩	1,997,300","₩2,700",0.14%,보유,HOLD,"₩	37,200",54,"₩	20,900","₩	2,029,700","₩29,700",1.49%,보유,HOLD,"₩	36,100",54,"₩	20,900","₩	1,970,300","₩29,700",1.49%,보유,HOLD,"₩	36,250",54,"₩	20,900","₩	1,978,400","₩21,600",1.08%,보유,HOLD,"₩	36,000",54,"₩	20,900","₩	1,964,900","₩35,100",1.76%,보유,HOLD,"₩	35,600",54,"₩	20,900","₩	1,943,300","₩56,700",2.84%,보유,HOLD,"₩	36,100",54,"₩	20,900","₩	1,970,300","₩29,700",1.49%,보유,HOLD,"₩	35,450",54,"₩	20,900","₩	1,935,200","₩64,800",3.24%,보유,HOLD,"₩	36,350",54,"₩	20,900","₩	1,983,800","₩16,200",0.81%
율촌화학,008730,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	34,350",58,"₩	7,700","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	38,150",58,"₩	7,700","₩	2,220,400","₩220,400",11.02%,보유,HOLD,"₩	37,650",58,"₩	7,700","₩	2,191,400","₩191,400",9.57%,보유,HOLD,"₩	36,350",58,"₩	7,700","₩	2,116,000","₩116,000",5.80%,손절,SELL,"₩	36,000",58,"₩	7,700","₩	2,095,700","₩95,700",4.78%,-,-,"₩	35,100",0,"₩	2,095,700","₩	2,095,700","₩95,700",4.78%,-,-,"₩	36,250",0,"₩	2,095,700","₩	2,095,700","₩95,700",4.78%,-,-,"₩	34,650",0,"₩	2,095,700","₩	2,095,700","₩95,700",4.78%,-,-,"₩	34,050",0,"₩	2,095,700","₩	2,095,700","₩95,700",4.78%,-,-,"₩	33,350",0,"₩	2,095,700","₩	2,095,700","₩95,700",4.78%,-,-,"₩	32,200",0,"₩	2,095,700","₩	2,095,700","₩95,700",4.78%,-,-,"₩	31,650",0,"₩	2,095,700","₩	2,095,700","₩95,700",4.78%
부광약품,003000,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	3,615",553,₩	905,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,610",553,₩	905,"₩	1,997,235","₩2,765",0.14%,보유,HOLD,"₩	3,645",553,₩	905,"₩	2,016,590","₩16,590",0.83%,보유,HOLD,"₩	3,560",553,₩	905,"₩	1,969,585","₩30,415",1.52%,보유,HOLD,"₩	3,610",553,₩	905,"₩	1,997,235","₩2,765",0.14%,보유,HOLD,"₩	3,580",553,₩	905,"₩	1,980,645","₩19,355",0.97%,보유,HOLD,"₩	3,585",553,₩	905,"₩	1,983,410","₩16,590",0.83%,보유,HOLD,"₩	3,875",553,₩	905,"₩	2,143,780","₩143,780",7.19%,보유,HOLD,"₩	3,870",553,₩	905,"₩	2,141,015","₩141,015",7.05%,보유,HOLD,"₩	3,780",553,₩	905,"₩	2,091,245","₩91,245",4.56%,보유,HOLD,"₩	3,695",553,₩	905,"₩	2,044,240","₩44,240",2.21%,보유,HOLD,"₩	3,695",553,₩	905,"₩	2,044,240","₩44,240",2.21%
PKC,001340,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	5,910",338,"₩	2,420","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	5,940",338,"₩	2,420","₩	2,010,140","₩10,140",0.51%,보유,HOLD,"₩	6,020",338,"₩	2,420","₩	2,037,180","₩37,180",1.86%,보유,HOLD,"₩	5,930",338,"₩	2,420","₩	2,006,760","₩6,760",0.34%,보유,HOLD,"₩	6,060",338,"₩	2,420","₩	2,050,700","₩50,700",2.54%,보유,HOLD,"₩	5,920",338,"₩	2,420","₩	2,003,380","₩3,380",0.17%,보유,HOLD,"₩	6,300",338,"₩	2,420","₩	2,131,820","₩131,820",6.59%,보유,HOLD,"₩	6,420",338,"₩	2,420","₩	2,172,380","₩172,380",8.62%,보유,HOLD,"₩	6,430",338,"₩	2,420","₩	2,175,760","₩175,760",8.79%,보유,HOLD,"₩	6,600",338,"₩	2,420","₩	2,233,220","₩233,220",11.66%,보유,HOLD,"₩	6,300",338,"₩	2,420","₩	2,131,820","₩131,820",6.59%,보유,HOLD,"₩	6,270",338,"₩	2,420","₩	2,121,680","₩121,680",6.08%
넥센타이어,002350,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	6,090",328,"₩	2,480","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	6,140",328,"₩	2,480","₩	2,016,400","₩16,400",0.82%,보유,HOLD,"₩	6,230",328,"₩	2,480","₩	2,045,920","₩45,920",2.30%,보유,HOLD,"₩	6,230",328,"₩	2,480","₩	2,045,920","₩45,920",2.30%,보유,HOLD,"₩	6,350",328,"₩	2,480","₩	2,085,280","₩85,280",4.26%,보유,HOLD,"₩	6,300",328,"₩	2,480","₩	2,068,880","₩68,880",3.44%,보유,HOLD,"₩	6,250",328,"₩	2,480","₩	2,052,480","₩52,480",2.62%,보유,HOLD,"₩	6,350",328,"₩	2,480","₩	2,085,280","₩85,280",4.26%,보유,HOLD,"₩	6,280",328,"₩	2,480","₩	2,062,320","₩62,320",3.12%,보유,HOLD,"₩	6,350",328,"₩	2,480","₩	2,085,280","₩85,280",4.26%,보유,HOLD,"₩	6,400",328,"₩	2,480","₩	2,101,680","₩101,680",5.08%,보유,HOLD,"₩	6,420",328,"₩	2,480","₩	2,108,240","₩108,240",5.41%
NH투자증권,005940,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	20,250",98,"₩	15,500","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	19,850",98,"₩	15,500","₩	1,960,800","₩39,200",1.96%,보유,HOLD,"₩	21,400",98,"₩	15,500","₩	2,112,700","₩112,700",5.64%,보유,HOLD,"₩	20,800",98,"₩	15,500","₩	2,053,900","₩53,900",2.70%,보유,HOLD,"₩	20,750",98,"₩	15,500","₩	2,049,000","₩49,000",2.45%,보유,HOLD,"₩	20,350",98,"₩	15,500","₩	2,009,800","₩9,800",0.49%,보유,HOLD,"₩	20,550",98,"₩	15,500","₩	2,029,400","₩29,400",1.47%,보유,HOLD,"₩	20,700",98,"₩	15,500","₩	2,044,100","₩44,100",2.21%,보유,HOLD,"₩	20,300",98,"₩	15,500","₩	2,004,900","₩4,900",0.25%,보유,HOLD,"₩	19,950",98,"₩	15,500","₩	1,970,600","₩29,400",1.47%,보유,HOLD,"₩	20,100",98,"₩	15,500","₩	1,985,300","₩14,700",0.74%,보유,HOLD,"₩	20,350",98,"₩	15,500","₩	2,009,800","₩9,800",0.49%
코오롱,002020,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	44,900",44,"₩	24,400","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	43,550",44,"₩	24,400","₩	1,940,600","₩59,400",2.97%,보유,HOLD,"₩	47,650",44,"₩	24,400","₩	2,121,000","₩121,000",6.05%,보유,HOLD,"₩	46,750",44,"₩	24,400","₩	2,081,400","₩81,400",4.07%,보유,HOLD,"₩	49,200",44,"₩	24,400","₩	2,189,200","₩189,200",9.46%,보유,HOLD,"₩	46,500",44,"₩	24,400","₩	2,070,400","₩70,400",3.52%,보유,HOLD,"₩	45,450",44,"₩	24,400","₩	2,024,200","₩24,200",1.21%,보유,HOLD,"₩	47,000",44,"₩	24,400","₩	2,092,400","₩92,400",4.62%,보유,HOLD,"₩	46,000",44,"₩	24,400","₩	2,048,400","₩48,400",2.42%,보유,HOLD,"₩	45,150",44,"₩	24,400","₩	2,011,000","₩11,000",0.55%,보유,HOLD,"₩	43,500",44,"₩	24,400","₩	1,938,400","₩61,600",3.08%,보유,HOLD,"₩	43,600",44,"₩	24,400","₩	1,942,800","₩57,200",2.86%
KG모빌리티,003620,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	3,455",578,"₩	3,010","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	3,420",578,"₩	3,010","₩	1,979,770","₩20,230",1.01%,보유,HOLD,"₩	3,505",578,"₩	3,010","₩	2,028,900","₩28,900",1.44%,보유,HOLD,"₩	3,550",578,"₩	3,010","₩	2,054,910","₩54,910",2.75%,보유,HOLD,"₩	3,670",578,"₩	3,010","₩	2,124,270","₩124,270",6.21%,보유,HOLD,"₩	3,605",578,"₩	3,010","₩	2,086,700","₩86,700",4.34%,보유,HOLD,"₩	3,630",578,"₩	3,010","₩	2,101,150","₩101,150",5.06%,보유,HOLD,"₩	3,640",578,"₩	3,010","₩	2,106,930","₩106,930",5.35%,보유,HOLD,"₩	3,600",578,"₩	3,010","₩	2,083,810","₩83,810",4.19%,보유,HOLD,"₩	3,735",578,"₩	3,010","₩	2,161,840","₩161,840",8.09%,보유,HOLD,"₩	3,675",578,"₩	3,010","₩	2,127,160","₩127,160",6.36%,보유,HOLD,"₩	3,815",578,"₩	3,010","₩	2,208,080","₩208,080",10.40%
전방,000950,"₩2,000,000",,,,,,,,,,,,,,,,골드크로스,BUY,"₩	36,400",54,"₩	34,400","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	35,350",54,"₩	34,400","₩	1,943,300","₩56,700",2.84%,보유,HOLD,"₩	34,750",54,"₩	34,400","₩	1,910,900","₩89,100",4.46%,손절,SELL,"₩	33,650",54,"₩	34,400","₩	1,851,500","₩148,500",7.43%,-,-,"₩	34,350",0,"₩	1,851,500","₩	1,851,500","₩148,500",7.43%,-,-,"₩	33,200",0,"₩	1,851,500","₩	1,851,500","₩148,500",7.43%,-,-,"₩	32,400",0,"₩	1,851,500","₩	1,851,500","₩148,500",7.43%,-,-,"₩	32,600",0,"₩	1,851,500","₩	1,851,500","₩148,500",7.43%,-,-,"₩	32,500",0,"₩	1,851,500","₩	1,851,500","₩148,500",7.43%,-,-,"₩	32,650",0,"₩	1,851,500","₩	1,851,500","₩148,500",7.43%,-,-,"₩	32,600",0,"₩	1,851,500","₩	1,851,500","₩148,500",7.43%,-,-,"₩	33,350",0,"₩	1,851,500","₩	1,851,500","₩148,500",7.43%
전진건설로봇,079900,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	51,900",38,"₩	27,800","₩	2,000,000",₩0,0.00%,손절,SELL,"₩	49,500",38,"₩	27,800","₩	1,908,800","₩91,200",4.56%,-,-,"₩	48,900",0,"₩	1,908,800","₩	1,908,800","₩91,200",4.56%,-,-,"₩	47,800",0,"₩	1,908,800","₩	1,908,800","₩91,200",4.56%,-,-,"₩	48,100",0,"₩	1,908,800","₩	1,908,800","₩91,200",4.56%,-,-,"₩	48,350",0,"₩	1,908,800","₩	1,908,800","₩91,200",4.56%,-,-,"₩	48,250",0,"₩	1,908,800","₩	1,908,800","₩91,200",4.56%,-,-,"₩	47,600",0,"₩	1,908,800","₩	1,908,800","₩91,200",4.56%,-,-,"₩	47,550",0,"₩	1,908,800","₩	1,908,800","₩91,200",4.56%,-,-,"₩	46,250",0,"₩	1,908,800","₩	1,908,800","₩91,200",4.56%,-,-,"₩	46,900",0,"₩	1,908,800","₩	1,908,800","₩91,200",4.56%
테이팩스,055490,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	15,230",131,"₩	4,870","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	15,000",131,"₩	4,870","₩	1,969,870","₩30,130",1.51%,보유,HOLD,"₩	14,720",131,"₩	4,870","₩	1,933,190","₩66,810",3.34%,보유,HOLD,"₩	15,000",131,"₩	4,870","₩	1,969,870","₩30,130",1.51%,보유,HOLD,"₩	14,690",131,"₩	4,870","₩	1,929,260","₩70,740",3.54%,보유,HOLD,"₩	15,610",131,"₩	4,870","₩	2,049,780","₩49,780",2.49%,보유,HOLD,"₩	15,300",131,"₩	4,870","₩	2,009,170","₩9,170",0.46%,보유,HOLD,"₩	15,200",131,"₩	4,870","₩	1,996,070","₩3,930",0.20%,보유,HOLD,"₩	15,030",131,"₩	4,870","₩	1,973,800","₩26,200",1.31%,보유,HOLD,"₩	14,600",131,"₩	4,870","₩	1,917,470","₩82,530",4.13%,보유,HOLD,"₩	14,310",131,"₩	4,870","₩	1,879,480","₩120,520",6.03%
서연이화,200880,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	12,110",165,"₩	1,850","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	12,290",165,"₩	1,850","₩	2,029,700","₩29,700",1.49%,보유,HOLD,"₩	12,650",165,"₩	1,850","₩	2,089,100","₩89,100",4.46%,보유,HOLD,"₩	13,440",165,"₩	1,850","₩	2,219,450","₩219,450",10.97%,보유,HOLD,"₩	12,940",165,"₩	1,850","₩	2,136,950","₩136,950",6.85%,보유,HOLD,"₩	12,850",165,"₩	1,850","₩	2,122,100","₩122,100",6.11%,보유,HOLD,"₩	12,730",165,"₩	1,850","₩	2,102,300","₩102,300",5.12%,보유,HOLD,"₩	12,810",165,"₩	1,850","₩	2,115,500","₩115,500",5.78%,보유,HOLD,"₩	12,830",165,"₩	1,850","₩	2,118,800","₩118,800",5.94%,보유,HOLD,"₩	12,800",165,"₩	1,850","₩	2,113,850","₩113,850",5.69%,보유,HOLD,"₩	13,030",165,"₩	1,850","₩	2,151,800","₩151,800",7.59%
애경케미칼,161000,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	10,870",183,"₩	10,790","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	10,580",183,"₩	10,790","₩	1,946,930","₩53,070",2.65%,보유,HOLD,"₩	10,570",183,"₩	10,790","₩	1,945,100","₩54,900",2.74%,보유,HOLD,"₩	10,800",183,"₩	10,790","₩	1,987,190","₩12,810",0.64%,보유,HOLD,"₩	10,560",183,"₩	10,790","₩	1,943,270","₩56,730",2.84%,보유,HOLD,"₩	11,780",183,"₩	10,790","₩	2,166,530","₩166,530",8.33%,보유,HOLD,"₩	11,560",183,"₩	10,790","₩	2,126,270","₩126,270",6.31%,보유,HOLD,"₩	11,910",183,"₩	10,790","₩	2,190,320","₩190,320",9.52%,보유,HOLD,"₩	11,690",183,"₩	10,790","₩	2,150,060","₩150,060",7.50%,손절,SELL,"₩	11,100",183,"₩	10,790","₩	2,042,090","₩42,090",2.10%,-,-,"₩	10,930",0,"₩	2,042,090","₩	2,042,090","₩42,090",2.10%
진도,088790,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	1,972","1,014",₩	392,"₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	2,045","1,014",₩	392,"₩	2,074,022","₩74,022",3.70%,보유,HOLD,"₩	2,050","1,014",₩	392,"₩	2,079,092","₩79,092",3.95%,보유,HOLD,"₩	2,025","1,014",₩	392,"₩	2,053,742","₩53,742",2.69%,보유,HOLD,"₩	2,015","1,014",₩	392,"₩	2,043,602","₩43,602",2.18%,보유,HOLD,"₩	2,020","1,014",₩	392,"₩	2,048,672","₩48,672",2.43%,보유,HOLD,"₩	2,055","1,014",₩	392,"₩	2,084,162","₩84,162",4.21%,보유,HOLD,"₩	2,055","1,014",₩	392,"₩	2,084,162","₩84,162",4.21%,보유,HOLD,"₩	1,986","1,014",₩	392,"₩	2,014,196","₩14,196",0.71%,보유,HOLD,"₩	2,005","1,014",₩	392,"₩	2,033,462","₩33,462",1.67%,보유,HOLD,"₩	2,035","1,014",₩	392,"₩	2,063,882","₩63,882",3.19%
모토닉,009680,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	10,430",191,"₩	7,870","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	10,520",191,"₩	7,870","₩	2,017,190","₩17,190",0.86%,보유,HOLD,"₩	10,540",191,"₩	7,870","₩	2,021,010","₩21,010",1.05%,보유,HOLD,"₩	10,610",191,"₩	7,870","₩	2,034,380","₩34,380",1.72%,보유,HOLD,"₩	10,570",191,"₩	7,870","₩	2,026,740","₩26,740",1.34%,손절,SELL,"₩	10,470",191,"₩	7,870","₩	2,007,640","₩7,640",0.38%,-,-,"₩	10,510",0,"₩	2,007,640","₩	2,007,640","₩7,640",0.38%,-,-,"₩	10,510",0,"₩	2,007,640","₩	2,007,640","₩7,640",0.38%,-,-,"₩	10,530",0,"₩	2,007,640","₩	2,007,640","₩7,640",0.38%,-,-,"₩	10,520",0,"₩	2,007,640","₩	2,007,640","₩7,640",0.38%,-,-,"₩	10,590",0,"₩	2,007,640","₩	2,007,640","₩7,640",0.38%
화신,010690,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	8,600",232,"₩	4,800","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	8,700",232,"₩	4,800","₩	2,023,200","₩23,200",1.16%,보유,HOLD,"₩	8,720",232,"₩	4,800","₩	2,027,840","₩27,840",1.39%,보유,HOLD,"₩	8,930",232,"₩	4,800","₩	2,076,560","₩76,560",3.83%,보유,HOLD,"₩	8,690",232,"₩	4,800","₩	2,020,880","₩20,880",1.04%,보유,HOLD,"₩	8,830",232,"₩	4,800","₩	2,053,360","₩53,360",2.67%,보유,HOLD,"₩	8,810",232,"₩	4,800","₩	2,048,720","₩48,720",2.44%,보유,HOLD,"₩	8,840",232,"₩	4,800","₩	2,055,680","₩55,680",2.78%,보유,HOLD,"₩	8,840",232,"₩	4,800","₩	2,055,680","₩55,680",2.78%,보유,HOLD,"₩	8,640",232,"₩	4,800","₩	2,009,280","₩9,280",0.46%,보유,HOLD,"₩	8,820",232,"₩	4,800","₩	2,051,040","₩51,040",2.55%
대창단조,015230,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	6,320",316,"₩	2,880","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	6,330",316,"₩	2,880","₩	2,003,160","₩3,160",0.16%,보유,HOLD,"₩	6,330",316,"₩	2,880","₩	2,003,160","₩3,160",0.16%,보유,HOLD,"₩	6,650",316,"₩	2,880","₩	2,104,280","₩104,280",5.21%,보유,HOLD,"₩	6,960",316,"₩	2,880","₩	2,202,240","₩202,240",10.11%,보유,HOLD,"₩	6,880",316,"₩	2,880","₩	2,176,960","₩176,960",8.85%,보유,HOLD,"₩	6,870",316,"₩	2,880","₩	2,173,800","₩173,800",8.69%,보유,HOLD,"₩	6,860",316,"₩	2,880","₩	2,170,640","₩170,640",8.53%,보유,HOLD,"₩	6,970",316,"₩	2,880","₩	2,205,400","₩205,400",10.27%,보유,HOLD,"₩	6,840",316,"₩	2,880","₩	2,164,320","₩164,320",8.22%,보유,HOLD,"₩	6,680",316,"₩	2,880","₩	2,113,760","₩113,760",5.69%
OCI홀딩스,010060,"₩2,000,000",,,,,,,,,,,,,,,,,,,,,,,,골드크로스,BUY,"₩	99,400",20,"₩	12,000","₩	2,000,000",₩0,0.00%,보유,HOLD,"₩	98,300",20,"₩	12,000","₩	1,978,000","₩22,000",1.10%,보유,HOLD,"₩	99,300",20,"₩	12,000","₩	1,998,000","₩2,000",0.10%,보유,HOLD,"₩	104,000",20,"₩	12,000","₩	2,092,000","₩92,000",4.60%,보유,HOLD,"₩	101,700",20,"₩	12,000","₩	2,046,000","₩46,000",2.30%,보유,HOLD,"₩	108,000",20,"₩	12,000","₩	2,172,000","₩172,000",8.60%,보유,HOLD,"₩	117,000",20,"₩	12,000","₩	2,352,000","₩352,000",17.60%,보유,HOLD,"₩	118,100",20,"₩	12,000","₩	2,374,000","₩374,000",18.70%,보유,HOLD,"₩	117,900",20,"₩	12,000","₩	2,370,000","₩370,000",18.50%,보유,HOLD,"₩	117,100",20,"₩	12,000","₩	2,354,000","₩354,000",17.70%,보유,HOLD,"₩	114,200",20,"₩	12,000","₩	2,296,000","₩296,000",14.80%
